player_name,player_id,team,team_id,goals,assists,penalties,nationality,position,season
Erling Haaland,38101,Manchester City FC,65,11,1.0,,Norway,,2025
Antoine Semenyo,4417,AFC Bournemouth,1044,6,3.0,1.0,Ghana,,2025
Thiago Rodrigues,175994,Brentford FC,402,6,,2.0,Brazil,,2025
Jean-Philippe Mateta,641,Crystal Palace FC,354,5,,2.0,France,,2025
Danny Welbeck,3328,Brighton & Hove Albion FC,397,5,,,England,,2025
Wilson Isidor,83599,Sunderland AFC,71,4,,,France,,2025
Jaidon Anthony,150778,Burnley FC,328,4,1.0,,England,,2025
Bryan Mbeumo,8626,Manchester United FC,66,4,1.0,,Cameroon,,2025
Nick Woltemade,133547,Newcastle United FC,67,4,,1.0,Germany,,2025
Eli Kroupi,204241,AFC Bournemouth,1044,4,,,France,,2025
