match_id,date,home_team,home_id,home_short,away_team,away_id,away_short,home_goals,away_goals,home_xg,away_xg,forecast_win,forecast_draw,forecast_loss,season,Match
22275,2023-08-11 19:00:00,Burnley,92,BUR,Manchester City,88,MCI,0,3,0.311032,2.40074,0.0177,0.0854,0.8969,2023,Burnley v Manchester City
22276,2023-08-12 11:30:00,Arsenal,83,ARS,Nottingham Forest,249,NOT,2,1,0.84262,0.966305,0.2797,0.3363,0.384,2023,Arsenal v Nottingham Forest
22277,2023-08-12 14:00:00,Bournemouth,73,BOU,West Ham,81,WHU,1,1,1.51025,1.4834,0.3559,0.3169,0.3272,2023,Bournemouth v West Ham
22278,2023-08-12 14:00:00,Brighton,220,BRI,Luton,256,LUT,4,1,4.36748,1.88594,0.879,0.0876,0.0334,2023,Brighton v Luton
22279,2023-08-12 14:00:00,Everton,72,EVE,Fulham,228,FLH,0,1,2.59001,1.58144,0.6371,0.1989,0.164,2023,Everton v Fulham
22280,2023-08-12 14:00:00,Sheffield United,238,SHE,Crystal Palace,78,CRY,0,1,0.422704,2.27616,0.0358,0.1179,0.8463,2023,Sheffield United v Crystal Palace
22281,2023-08-12 16:30:00,Newcastle United,86,NEW,Aston Villa,71,AVL,5,1,4.32208,1.486,0.8987,0.0665,0.0348,2023,Newcastle United v Aston Villa
22282,2023-08-13 13:00:00,Brentford,244,BRE,Tottenham,82,TOT,2,2,1.90756,1.45316,0.4985,0.2608,0.2407,2023,Brentford v Tottenham
22283,2023-08-13 15:30:00,Chelsea,80,CHE,Liverpool,87,LIV,1,1,1.93258,1.29994,0.5323,0.2472,0.2205,2023,Chelsea v Liverpool
22284,2023-08-14 19:00:00,Manchester United,89,MUN,Wolverhampton Wanderers,229,WOL,1,0,1.97087,1.72228,0.4419,0.2505,0.3076,2023,Manchester United v Wolverhampton Wanderers
22285,2023-08-18 18:45:00,Nottingham Forest,249,NOT,Sheffield United,238,SHE,2,1,1.37181,0.551038,0.5965,0.2786,0.1249,2023,Nottingham Forest v Sheffield United
22286,2023-08-19 14:00:00,Wolverhampton Wanderers,229,WOL,Brighton,220,BRI,1,4,2.68821,3.15562,0.3046,0.2057,0.4897,2023,Wolverhampton Wanderers v Brighton
22287,2023-08-19 14:00:00,Fulham,228,FLH,Brentford,244,BRE,0,3,0.399899,3.46888,0.005,0.0284,0.9666,2023,Fulham v Brentford
22288,2023-08-19 14:00:00,Liverpool,87,LIV,Bournemouth,73,BOU,3,1,3.25448,1.3867,0.8032,0.1308,0.066,2023,Liverpool v Bournemouth
22290,2023-08-19 16:30:00,Tottenham,82,TOT,Manchester United,89,MUN,2,0,2.53904,2.44604,0.4211,0.2102,0.3687,2023,Tottenham v Manchester United
22291,2023-08-19 19:00:00,Manchester City,88,MCI,Newcastle United,86,NEW,1,0,1.22528,0.257154,0.6449,0.2857,0.0694,2023,Manchester City v Newcastle United
22292,2023-08-20 13:00:00,Aston Villa,71,AVL,Everton,72,EVE,4,0,3.24336,0.721465,0.9138,0.0655,0.0207,2023,Aston Villa v Everton
22293,2023-08-20 15:30:00,West Ham,81,WHU,Chelsea,80,CHE,3,1,1.71234,1.60916,0.3947,0.2905,0.3148,2023,West Ham v Chelsea
22294,2023-08-21 19:00:00,Crystal Palace,78,CRY,Arsenal,83,ARS,0,1,1.06916,2.20593,0.1279,0.1973,0.6748,2023,Crystal Palace v Arsenal
22295,2023-08-25 19:00:00,Chelsea,80,CHE,Luton,256,LUT,3,0,3.41419,0.465741,0.9422,0.0473,0.0105,2023,Chelsea v Luton
22296,2023-08-26 11:30:00,Bournemouth,73,BOU,Tottenham,82,TOT,0,2,0.483582,2.26115,0.0438,0.129,0.8272,2023,Bournemouth v Tottenham
22297,2023-08-26 14:00:00,Arsenal,83,ARS,Fulham,228,FLH,2,2,3.23088,0.849817,0.8911,0.0845,0.0244,2023,Arsenal v Fulham
22298,2023-08-26 14:00:00,Brentford,244,BRE,Crystal Palace,78,CRY,1,1,0.948011,1.06061,0.3083,0.3264,0.3653,2023,Brentford v Crystal Palace
22299,2023-08-26 14:00:00,Everton,72,EVE,Wolverhampton Wanderers,229,WOL,0,1,1.89792,1.40228,0.4943,0.2476,0.2581,2023,Everton v Wolverhampton Wanderers
22300,2023-08-26 14:00:00,Manchester United,89,MUN,Nottingham Forest,249,NOT,3,2,3.02803,0.960354,0.861,0.1027,0.0363,2023,Manchester United v Nottingham Forest
22301,2023-08-26 16:30:00,Brighton,220,BRI,West Ham,81,WHU,1,3,1.3743,2.9527,0.0988,0.1413,0.7599,2023,Brighton v West Ham
22302,2023-08-27 13:00:00,Burnley,92,BUR,Aston Villa,71,AVL,1,3,0.630605,2.83691,0.0221,0.0821,0.8958,2023,Burnley v Aston Villa
22303,2023-08-27 13:00:00,Sheffield United,238,SHE,Manchester City,88,MCI,1,2,0.762232,3.84804,0.0099,0.0443,0.9458,2023,Sheffield United v Manchester City
22304,2023-08-27 15:30:00,Newcastle United,86,NEW,Liverpool,87,LIV,1,2,1.62037,0.856121,0.5588,0.2581,0.1831,2023,Newcastle United v Liverpool
21925,2023-09-01 19:00:00,Luton,256,LUT,West Ham,81,WHU,1,2,2.02244,1.22528,0.5814,0.2473,0.1713,2023,Luton v West Ham
21926,2023-09-02 11:30:00,Sheffield United,238,SHE,Everton,72,EVE,2,2,1.575,2.73871,0.1261,0.2031,0.6708,2023,Sheffield United v Everton
21927,2023-09-02 14:00:00,Manchester City,88,MCI,Fulham,228,FLH,5,1,2.00152,1.46427,0.523,0.3082,0.1688,2023,Manchester City v Fulham
21928,2023-09-02 14:00:00,Brentford,244,BRE,Bournemouth,73,BOU,2,2,3.07185,2.11013,0.5993,0.2049,0.1958,2023,Brentford v Bournemouth
21929,2023-09-02 14:00:00,Burnley,92,BUR,Tottenham,82,TOT,2,5,1.66604,2.39785,0.2232,0.2163,0.5605,2023,Burnley v Tottenham
21930,2023-09-02 14:00:00,Chelsea,80,CHE,Nottingham Forest,249,NOT,0,1,2.28442,1.1505,0.6607,0.2127,0.1266,2023,Chelsea v Nottingham Forest
21931,2023-09-02 16:30:00,Brighton,220,BRI,Newcastle United,86,NEW,3,1,1.32258,0.90476,0.4762,0.3005,0.2233,2023,Brighton v Newcastle United
21932,2023-09-03 13:00:00,Crystal Palace,78,CRY,Wolverhampton Wanderers,229,WOL,3,2,2.32935,1.13911,0.6847,0.1878,0.1275,2023,Crystal Palace v Wolverhampton Wanderers
21933,2023-09-03 13:00:00,Liverpool,87,LIV,Aston Villa,71,AVL,3,0,2.73138,0.615503,0.8684,0.0998,0.0318,2023,Liverpool v Aston Villa
21934,2023-09-03 15:30:00,Arsenal,83,ARS,Manchester United,89,MUN,3,1,1.90973,0.966109,0.629,0.2273,0.1437,2023,Arsenal v Manchester United
21935,2023-09-16 11:30:00,Wolverhampton Wanderers,229,WOL,Liverpool,87,LIV,1,3,0.538833,2.82701,0.0189,0.0705,0.9106,2023,Wolverhampton Wanderers v Liverpool
21936,2023-09-16 14:00:00,Tottenham,82,TOT,Sheffield United,238,SHE,2,1,2.15909,0.790655,0.7114,0.187,0.1016,2023,Tottenham v Sheffield United
21937,2023-09-16 14:00:00,West Ham,81,WHU,Manchester City,88,MCI,1,3,0.895632,4.15046,0.0123,0.0352,0.9525,2023,West Ham v Manchester City
21938,2023-09-16 14:00:00,Aston Villa,71,AVL,Crystal Palace,78,CRY,3,1,2.31518,1.11696,0.6875,0.201,0.1115,2023,Aston Villa v Crystal Palace
21939,2023-09-16 14:00:00,Fulham,228,FLH,Luton,256,LUT,1,0,1.75704,1.45705,0.4351,0.2865,0.2784,2023,Fulham v Luton
21940,2023-09-16 14:00:00,Manchester United,89,MUN,Brighton,220,BRI,1,3,0.719951,1.93908,0.1055,0.1835,0.711,2023,Manchester United v Brighton
